age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,age_x_age,age_x_fnlwgt,age_x_education_num,age_x_capital_gain,age_x_capital_loss,age_x_hours_per_week,fnlwgt_x_fnlwgt,fnlwgt_x_education_num,fnlwgt_x_capital_gain,fnlwgt_x_capital_loss,fnlwgt_x_hours_per_week,education_num_x_education_num,education_num_x_capital_gain,education_num_x_capital_loss,education_num_x_hours_per_week,capital_gain_x_capital_gain,capital_gain_x_capital_loss,capital_gain_x_hours_per_week,capital_loss_x_capital_loss,capital_loss_x_hours_per_week,hours_per_week_x_hours_per_week,marital_status_statistics,male,female
29,?,19793,Some-college,10,Divorced,?,Unmarried,White,Female,0,0,8,United-States,<=50K,841,573997,290,0,0,232,391762849,197930,0,0,158344,100,0,0,80,0,0,0,0,0,64,Divorced,10.82,15.09
31,Local-gov,189843,HS-grad,9,Divorced,Protective-serv,Not-in-family,White,Male,0,0,47,United-States,>50K,961,5885133,279,0,0,1457,1680626281,1708587,0,0,8922621,81,0,0,423,0,0,0,0,0,2209,Divorced,10.82,15.09
35,Private,233571,HS-grad,9,Divorced,Other-service,Own-child,White,Female,0,0,50,United-States,<=50K,1225,8174985,315,0,0,1750,-1279162807,2102139,0,0,11678550,81,0,0,450,0,0,0,0,0,2500,Divorced,10.82,15.09
42,Private,136177,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,<=50K,1764,5719434,420,0,0,1596,1364306145,1361770,0,0,5174726,100,0,0,380,0,0,0,0,0,1444,Divorced,10.82,15.09
30,Private,373213,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,>50K,900,11196390,330,0,0,1200,1848989897,4105343,0,0,14928520,121,0,0,440,0,0,0,0,0,1600,Divorced,10.82,15.09
42,Federal-gov,70240,Some-college,10,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K,1764,2950080,420,0,0,1680,638690304,702400,0,0,2809600,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
55,Private,169071,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K,3025,9298905,550,0,0,1100,-1479768031,1690710,0,0,3381420,100,0,0,200,0,0,0,0,0,400,Divorced,10.82,15.09
37,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K,1369,10609010,370,0,0,1480,609714276,2867300,0,0,11469200,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
40,Private,133974,Some-college,10,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,1600,5358960,400,0,0,1600,769163492,1339740,0,0,5358960,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
42,Private,104647,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,1764,4395174,378,0,0,1680,-1933907279,941823,0,0,4185880,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
44,Private,172475,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Vietnam,<=50K,1936,7588900,396,0,0,1760,-317145447,1552275,0,0,6899000,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
38,Private,51100,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,3325,0,40,United-States,<=50K,1444,1941800,494,126350,0,1520,-1683757296,664300,169907500,0,2044000,169,43225,0,520,11055625,0,133000,0,0,1600,Divorced,10.82,15.09
36,Private,238415,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K,1296,8582940,324,0,0,1440,1007137377,2145735,0,0,9536600,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
40,Private,382499,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,<=50K,1600,15299960,360,0,0,2000,276596937,3442491,0,0,19124950,81,0,0,450,0,0,0,0,0,2500,Divorced,10.82,15.09
58,Private,212864,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,3364,12346112,522,0,0,2320,-1933557760,1915776,0,0,8514560,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
38,Private,130813,HS-grad,9,Divorced,Machine-op-inspct,Other-relative,White,Female,0,0,40,United-States,<=50K,1444,4970894,342,0,0,1520,-67828215,1177317,0,0,5232520,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
48,State-gov,120131,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,8614,0,40,United-States,>50K,2304,5766288,432,413472,0,1920,1546555273,1081179,1034808434,0,4805240,81,77526,0,360,74200996,0,344560,0,0,1600,Divorced,10.82,15.09
48,State-gov,183486,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,56,United-States,>50K,2304,8807328,528,0,0,2688,-692626172,2018346,0,0,10275216,121,0,0,616,0,0,0,0,0,3136,Divorced,10.82,15.09
45,State-gov,208049,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,2025,9362205,405,0,0,1800,334713441,1872441,0,0,8321960,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
46,Private,101430,11th,7,Divorced,Handlers-cleaners,Unmarried,Black,Female,0,0,40,United-States,<=50K,2116,4665780,322,0,0,1840,1698110308,710010,0,0,4057200,49,0,0,280,0,0,0,0,0,1600,Divorced,10.82,15.09
29,Self-emp-not-inc,69132,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,99999,0,60,United-States,>50K,841,2004828,435,2899971,0,1740,484266128,1036980,-1676803724,0,4147920,225,1499985,0,900,1409865409,0,5999940,0,0,3600,Divorced,10.82,15.09
30,Private,30063,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,32,United-States,<=50K,900,901890,270,0,0,960,903783969,270567,0,0,962016,81,0,0,288,0,0,0,0,0,1024,Divorced,10.82,15.09
40,Private,65866,Some-college,10,Divorced,Tech-support,Unmarried,White,Female,0,213,40,United-States,<=50K,1600,2634640,400,0,8520,1600,43362660,658660,0,14029458,2634640,100,0,2130,400,0,0,0,45369,8520,1600,Divorced,10.82,15.09
33,Private,178506,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K,1089,5890698,297,0,0,1320,1799620964,1606554,0,0,7140240,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
44,Private,126199,Some-college,10,Divorced,Transport-moving,Unmarried,White,Male,1831,0,50,United-States,<=50K,1936,5552756,440,80564,0,2200,-1253681583,1261990,231070369,0,6309950,100,18310,0,500,3352561,0,91550,0,0,2500,Divorced,10.82,15.09
42,Private,259643,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,4650,0,40,United-States,<=50K,1764,10905006,588,195300,0,1680,-1304989287,3635002,1207339950,0,10385720,196,65100,0,560,21622500,0,186000,0,0,1600,Divorced,10.82,15.09
62,State-gov,265201,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,3844,16442462,806,0,0,2480,1612093665,3447613,0,0,10608040,169,0,0,520,0,0,0,0,0,1600,Divorced,10.82,15.09
81,?,162882,HS-grad,9,Divorced,?,Not-in-family,White,Female,0,0,35,United-States,<=50K,6561,13193442,729,0,0,2835,760742148,1465938,0,0,5700870,81,0,0,315,0,0,0,0,0,1225,Divorced,10.82,15.09
29,Private,93662,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,24,United-States,<=50K,841,2716198,290,0,0,696,182635652,936620,0,0,2247888,100,0,0,240,0,0,0,0,0,576,Divorced,10.82,15.09
48,Private,141483,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,2304,6791184,480,0,0,1920,-1457397191,1414830,0,0,5659320,100,0,0,400,0,0,0,0,0,1600,Divorced,10.82,15.09
32,Private,203674,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0,880,36,United-States,<=50K,1024,6517568,384,0,28160,1152,-1466574684,2444088,0,179233120,7332264,144,0,10560,432,0,0,0,774400,31680,1296,Divorced,10.82,15.09
40,Private,179717,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,1564,60,United-States,>50K,1600,7188680,520,0,62560,2400,-2061538279,2336321,0,281077388,10783020,169,0,20332,780,0,0,0,2446096,93840,3600,Divorced,10.82,15.09
57,Private,35884,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,3249,2045388,513,0,0,2280,1287661456,322956,0,0,1435360,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
43,Self-emp-not-inc,187322,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0,0,45,United-States,<=50K,1849,8054846,387,0,0,1935,729793316,1685898,0,0,8429490,81,0,0,405,0,0,0,0,0,2025,Divorced,10.82,15.09
60,?,134152,9th,5,Divorced,?,Not-in-family,Black,Male,0,0,35,United-States,<=50K,3600,8049120,300,0,0,2100,816889920,670760,0,0,4695320,25,0,0,175,0,0,0,0,0,1225,Divorced,10.82,15.09
46,Private,125492,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,<=50K,2116,5772632,598,0,0,1840,-1431627120,1631396,0,0,5019680,169,0,0,520,0,0,0,0,0,1600,Divorced,10.82,15.09
54,Private,249860,11th,7,Divorced,Priv-house-serv,Unmarried,Black,Female,0,0,10,United-States,<=50K,2916,13492440,378,0,0,540,-1994489840,1749020,0,0,2498600,49,0,0,70,0,0,0,0,0,100,Divorced,10.82,15.09
34,Private,182177,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,3325,0,35,United-States,<=50K,1156,6194018,306,113050,0,1190,-1171279039,1639593,605738525,0,6376195,81,29925,0,315,11055625,0,116375,0,0,1225,Divorced,10.82,15.09
40,Self-emp-not-inc,33310,Prof-school,15,Divorced,Other-service,Not-in-family,White,Female,0,2339,35,United-States,<=50K,1600,1332400,600,0,93560,1400,1109556100,499650,0,77912090,1165850,225,0,35085,525,0,0,0,5470921,81865,1225,Divorced,10.82,15.09
38,Private,252250,11th,7,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,65,United-States,<=50K,1444,9585500,266,0,0,2470,-794446940,1765750,0,0,16396250,49,0,0,455,0,0,0,0,0,4225,Divorced,10.82,15.09
40,Private,239708,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K,1600,9588320,360,0,0,2000,1625350416,2157372,0,0,11985400,81,0,0,450,0,0,0,0,0,2500,Divorced,10.82,15.09
51,Private,102904,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,43,United-States,<=50K,2601,5248104,459,0,0,2193,1999298624,926136,0,0,4424872,81,0,0,387,0,0,0,0,0,1849,Divorced,10.82,15.09
59,Private,247187,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,3481,14584033,531,0,0,2360,971870825,2224683,0,0,9887480,81,0,0,360,0,0,0,0,0,1600,Divorced,10.82,15.09
26,Private,195216,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,12,United-States,<=50K,676,5075616,234,0,0,312,-545419008,1756944,0,0,2342592,81,0,0,108,0,0,0,0,0,144,Divorced,10.82,15.09
40,Private,257364,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,45,United-States,<=50K,1600,10294560,400,0,0,1800,1811719056,2573640,0,0,11581380,100,0,0,450,0,0,0,0,0,2025,Divorced,10.82,15.09
39,Private,185520,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,8614,0,40,United-States,>50K,1521,7235280,390,335946,0,1560,57932032,1855200,1598069280,0,7420800,100,86140,0,400,74200996,0,344560,0,0,1600,Divorced,10.82,15.09
45,Private,89028,HS-grad,9,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,10520,0,40,United-States,>50K,2025,4006260,405,473400,0,1800,-663949808,801252,936574560,0,3561120,81,94680,0,360,110670400,0,420800,0,0,1600,Divorced,10.82,15.09
26,Private,109097,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,48,United-States,<=50K,676,2836522,234,0,0,1248,-982746479,981873,0,0,5236656,81,0,0,432,0,0,0,0,0,2304,Divorced,10.82,15.09
